"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale","table_description","column_description"
affinity_gaming_report_config_data,report_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,report_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,report_name,text,,YES,,,,,
affinity_gaming_report_config_data,report_name,text,,YES,,,,,
affinity_gaming_report_config_data,report_name,text,,YES,,,,,
affinity_gaming_report_config_data,report_name,text,,YES,,,,,
affinity_gaming_report_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_name,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_name,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_name,integer,,YES,,32,0,,
affinity_gaming_report_config_data,gl_name,integer,,YES,,32,0,,
affinity_gaming_report_config_data,category_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,category_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,category_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,category_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,category_name,text,,YES,,,,,
affinity_gaming_report_config_data,category_name,text,,YES,,,,,
affinity_gaming_report_config_data,category_name,text,,YES,,,,,
affinity_gaming_report_config_data,category_name,text,,YES,,,,,
affinity_gaming_report_config_data,subcategory_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,subcategory_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,subcategory_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,subcategory_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,subcategory_name,text,,YES,,,,,
affinity_gaming_report_config_data,subcategory_name,text,,YES,,,,,
affinity_gaming_report_config_data,subcategory_name,text,,YES,,,,,
affinity_gaming_report_config_data,subcategory_name,text,,YES,,,,,
affinity_gaming_report_config_data,sub_subgroup_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,sub_subgroup_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,sub_subgroup_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,sub_subgroup_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,sub_subgroup,text,,YES,,,,,
affinity_gaming_report_config_data,sub_subgroup,text,,YES,,,,,
affinity_gaming_report_config_data,sub_subgroup,text,,YES,,,,,
affinity_gaming_report_config_data,sub_subgroup,text,,YES,,,,,
affinity_gaming_report_config_data,signage,integer,,YES,,32,0,,
affinity_gaming_report_config_data,signage,integer,,YES,,32,0,,
affinity_gaming_report_config_data,signage,integer,,YES,,32,0,,
affinity_gaming_report_config_data,signage,integer,,YES,,32,0,,
affinity_gaming_report_config_data,absolute_flag,integer,,YES,,32,0,,
affinity_gaming_report_config_data,absolute_flag,integer,,YES,,32,0,,
affinity_gaming_report_config_data,absolute_flag,integer,,YES,,32,0,,
affinity_gaming_report_config_data,absolute_flag,integer,,YES,,32,0,,
affinity_gaming_report_config_data,company_id,integer,,YES,,32,0,,
